Line 7 x,Line 7 y
2.503855278766E2,-7.215569467174E-7
2.607947805457E2,-1.236748606674E-3
2.750593119810E2,-4.690120153663E-5
2.839264531435E2,-6.349701131113E-5
2.924080664294E2,-7.937126413891E-5
2.997330960854E2,9.639279251197E-3
3.051304863582E2,3.152698767292E-2
3.093712930012E2,5.463340577765E-2
3.132265717675E2,8.139018047582E-2
3.166963226572E2,1.203131268526E-1
3.186239620403E2,1.592389594572E-1
3.220937129300E2,2.042446308948E-1
3.240213523132E2,2.468200985358E-1
3.271055753262E2,2.966926715790E-1
3.294187425860E2,3.453501427240E-1
3.336595492289E2,3.964370961085E-1
3.379003558719E2,4.657722246755E-1
3.407189402277E2,5.077370543165E-1
3.416541355458E2,5.222681527795E-1
3.426982981249E2,5.377611901376E-1
3.437269920712E2,5.522895940459E-1
3.447714063463E2,5.669240023765E-1
3.460281410451E2,5.837091129741E-1
3.472942770978E2,6.003987835930E-1
3.484304512943E2,6.149638462971E-1
3.495850989035E2,6.298693642082E-1
3.508937022405E2,6.452884362567E-1
3.521504817326E2,6.600497843906E-1
3.535858069595E2,6.771238422066E-1
3.548762037242E2,6.915355353134E-1
3.563529602294E2,7.076800920519E-1
3.576847882724E2,7.226175902177E-1
3.589843413073E2,7.386601782955E-1
3.604214487971E2,7.531954868398E-1
3.618409029764E2,7.678796944172E-1
3.633346040337E2,7.823848705486E-1
3.650733662455E2,8.002368809825E-1
3.670335531272E2,8.170662684070E-1
3.688590605183E2,8.314960990533E-1
3.707930281313E2,8.447402947251E-1
3.730559445831E2,8.591937173979E-1
3.755617555997E2,8.720296786488E-1
3.785270545908E2,8.854947143247E-1
3.821256862301E2,8.992498096285E-1
3.856019100473E2,9.102126735065E-1
3.897823379354E2,9.208366692174E-1
3.940682810114E2,9.283587543661E-1
3.992510033586E2,9.290021570969E-1
4.039864426485E2,9.240891735327E-1
4.079937527398E2,9.142443225633E-1
4.108357623971E2,9.024220042316E-1
4.137077320787E2,8.870142348326E-1
4.155591392980E2,8.716041002581E-1
4.168896089510E2,8.578834510445E-1
4.187116675751E2,8.437745963861E-1
4.213531576135E2,8.294919110969E-1
4.242103365348E2,8.150786040738E-1
4.269002750481E2,8.033467788649E-1
4.297808629680E2,7.916381169343E-1
4.327780300303E2,7.806870250087E-1
4.358683672364E2,7.694390012038E-1
4.395613988099E2,7.577896402038E-1
4.433004747358E2,7.456094157888E-1
4.472625766933E2,7.339417011194E-1
4.511680694697E2,7.218703656977E-1
4.543964149512E2,7.116771805446E-1
4.576247604327E2,7.014839953914E-1
4.608531059143E2,6.912908102382E-1
4.640814513958E2,6.810976250851E-1
4.673097968773E2,6.709044399319E-1
4.705509532536E2,6.599229399777E-1
4.737664878404E2,6.490627634889E-1
4.768960064194E2,6.378302589176E-1
4.805855441126E2,6.247255983201E-1
4.838138895941E2,6.130771070303E-1
4.871410619781E2,6.010126290219E-1
4.907449268125E2,5.876529448818E-1
4.937562877639E2,5.762019324079E-1
4.968549229359E2,5.645208384339E-1
5.002129787270E2,5.514496436915E-1
5.035458397583E2,5.387217731764E-1
5.065817112512E2,5.264596082831E-1
5.094800597298E2,5.133395601603E-1
5.122286372022E2,5.009477394197E-1
5.150374142338E2,4.882909108922E-1
5.181146028034E2,4.745822070701E-1
5.220085810255E2,4.593649486835E-1
5.252662848076E2,4.486192312534E-1
5.297148680158E2,4.373322826914E-1
5.341047540334E2,4.305877631414E-1
5.387433824981E2,4.289608113435E-1
5.434312185246E2,4.352709149799E-1
5.471235014095E2,4.467851780570E-1
5.500226984019E2,4.580472094098E-1
5.527988040471E2,4.698077594926E-1
5.560892976193E2,4.808208286950E-1
5.601713145431E2,4.890952036841E-1
5.650009502013E2,4.885654091510E-1
5.692236674801E2,4.810604536712E-1
5.725528114110E2,4.695791969322E-1
5.751839362709E2,4.568715814343E-1
5.773325096638E2,4.424634471589E-1
5.793139519444E2,4.265816363372E-1
5.811587207910E2,4.105698161500E-1
5.830034896375E2,3.945579959627E-1
5.847052261879E2,3.810275340727E-1
5.870842966933E2,3.662529644162E-1
5.898880982728E2,3.538340853916E-1
5.944709047194E2,3.436128501113E-1
5.997142375726E2,3.440778486513E-1
6.039746986143E2,3.491155240159E-1
6.082622003491E2,3.554624220418E-1
6.130158672520E2,3.615310819199E-1
6.176584578741E2,3.628257983076E-1
6.222850875633E2,3.606538674498E-1
6.267737588896E2,3.559555691417E-1
6.317491111168E2,3.493803695473E-1
6.359536966922E2,3.439140128203E-1
6.407210964861E2,3.391350118787E-1
6.453711684490E2,3.380337266610E-1
6.498755095515E2,3.406670811913E-1
6.539831094439E2,3.485503866502E-1
6.576611173318E2,3.595336629552E-1
6.608092117083E2,3.725019406667E-1
6.633578019628E2,3.864738846421E-1
6.653918517795E2,3.998649579320E-1
6.674210975108E2,4.147288639237E-1
6.690945846943E2,4.283339221949E-1
6.708300766085E2,4.426145037665E-1
6.724515864981E2,4.572434206357E-1
6.739163376208E2,4.721688983951E-1
6.751851985163E2,4.863177220076E-1
6.764562722026E2,5.010160350458E-1
6.777120227278E2,5.155605511143E-1
6.788499296586E2,5.298824593001E-1
6.801083089129E2,5.449066299712E-1
6.812333550364E2,5.590770640886E-1
6.824658629382E2,5.742371100035E-1
6.837345241834E2,5.888507184496E-1
6.850498861098E2,6.034562937838E-1
6.863325403673E2,6.172424382244E-1
6.878070743550E2,6.312065748704E-1
6.894570268947E2,6.457738684509E-1
6.911810698556E2,6.599671223393E-1
6.935288858091E2,6.775425888176E-1
6.957901834297E2,6.920113025847E-1
6.984079150815E2,7.070540429204E-1
7.009261992511E2,7.194107640557E-1
7.038285623646E2,7.320801244172E-1
7.070682546387E2,7.437645477803E-1
7.107177941204E2,7.538013014044E-1
7.145341529527E2,7.618889810330E-1
7.191869299533E2,7.691570049623E-1
7.242023918954E2,7.744301099957E-1
7.297705679581E2,7.784919530339E-1
7.346987924742E2,7.809061960886E-1
7.394132017488E2,7.824537416267E-1
7.444863160769E2,7.838995528835E-1
7.490982381934E2,7.838909211745E-1
7.537485929942E2,7.839226427050E-1
7.583220824263E2,7.853289638932E-1
7.629340045428E2,7.853203321842E-1
7.675459266593E2,7.867670066119E-1
7.723355999406E2,7.869450086358E-1
7.776921553155E2,7.882033229888E-1
7.823040774320E2,7.896499974165E-1
7.870937507133E2,7.898279994404E-1
7.919891138765E2,7.910871769643E-1
7.969597410465E2,7.924321171107E-1
8.016741503211E2,7.925243565121E-1
8.063178353938E2,7.934977849775E-1
8.108979945541E2,7.939623992308E-1
8.155099166705E2,7.939537675218E-1
8.201218387870E2,7.939451358128E-1
8.247337609035E2,7.939365041038E-1
8.293456830199E2,7.939278723948E-1
8.339823118620E2,7.939191944445E-1
8.385375000159E2,7.924553627826E-1
8.431785211648E2,7.918160439524E-1
8.483561400577E2,7.900980205080E-1
8.530641396189E2,7.884434078090E-1
8.579125874553E2,7.859753280476E-1
8.625970853109E2,7.827061167567E-1
8.672867985098E2,7.797620816433E-1
8.716953954513E2,7.757650840924E-1
8.768441448244E2,7.703096023817E-1
8.812298068302E2,7.647246429347E-1
8.857075639396E2,7.584948285956E-1
8.901076383620E2,7.507523263938E-1
8.940453601053E2,7.424587284572E-1
8.985603852723E2,7.318346283375E-1
