Line 7 x,Line 7 y
3.494181818182E2,-1.394578575787E-6
3.526181818182E2,6.275603591040E-6
3.547030119116E2,8.094723170734E-3
3.557730223569E2,1.162380843627E-2
3.568430328022E2,1.338963344013E-2
3.579130432476E2,1.868197896733E-2
3.589830536929E2,2.044780397120E-2
3.600530641382E2,2.574014949840E-2
3.605880693609E2,2.926795239284E-2
3.605880693609E2,3.279447291617E-2
3.605880693609E2,3.632099343950E-2
3.621930850289E2,3.985136107614E-2
3.627280902516E2,4.337916397057E-2
3.627280902516E2,4.690568449391E-2
3.627280902516E2,5.043220501724E-2
3.627280902516E2,5.395872554058E-2
3.627280902516E2,5.748524606391E-2
3.643331059196E2,6.101561370054E-2
3.648681111422E2,6.454341659498E-2
3.648681111422E2,6.806993711831E-2
3.648681111422E2,7.159645764165E-2
3.648681111422E2,7.512297816498E-2
3.648681111422E2,7.864949868832E-2
3.664731268102E2,8.217986632495E-2
3.670081320329E2,8.570766921938E-2
3.670081320329E2,8.923418974272E-2
3.670081320329E2,9.276071026605E-2
3.670081320329E2,9.628723078939E-2
3.670081320329E2,9.981375131272E-2
3.670081320329E2,1.033402718361E-1
3.670081320329E2,1.068667923594E-1
3.678240149975E2,1.116295506818E-1
3.691481529236E2,1.166678121864E-1
3.691481529236E2,1.209780039371E-1
3.691481529236E2,1.245045244605E-1
3.691481529236E2,1.280310449838E-1
3.691481529236E2,1.315575655071E-1
3.691481529236E2,1.350840860305E-1
3.691481529236E2,1.386106065538E-1
3.691481529236E2,1.421371270771E-1
3.707531685916E2,1.456674947138E-1
3.712881738143E2,1.491952976082E-1
3.712881738143E2,1.527218181315E-1
3.712881738143E2,1.562483386549E-1
3.712881738143E2,1.597748591782E-1
3.712881738143E2,1.633013797015E-1
3.712881738143E2,1.668279002249E-1
3.712881738143E2,1.703544207482E-1
3.728931894823E2,1.738847883848E-1
3.734281947049E2,1.774125912793E-1
3.734281947049E2,1.809391118026E-1
3.734281947049E2,1.844656323259E-1
3.734281947049E2,1.879921528493E-1
3.734281947049E2,1.915186733726E-1
3.734281947049E2,1.950451938959E-1
3.734281947049E2,1.985717144193E-1
3.734281947049E2,2.020982349426E-1
3.734281947049E2,2.056247554660E-1
3.750332103729E2,2.091551231026E-1
3.755682155956E2,2.126829259970E-1
3.755682155956E2,2.162094465204E-1
3.755682155956E2,2.197359670437E-1
3.755682155956E2,2.232624875670E-1
3.755682155956E2,2.267890080904E-1
3.764349240563E2,2.315871534433E-1
3.777082364863E2,2.444267401914E-1
3.777082364863E2,2.479532607148E-1
3.777082364863E2,2.514797812381E-1
3.777082364863E2,2.550063017614E-1
3.777082364863E2,2.585328222848E-1
3.777082364863E2,2.620593428081E-1
3.777082364863E2,2.655858633314E-1
3.777082364863E2,2.691123838548E-1
3.787782469316E2,2.673516883353E-1
3.797055893176E2,2.701751275305E-1
3.798482573769E2,2.761705543858E-1
3.798482573769E2,2.796970749092E-1
3.798482573769E2,2.832235954325E-1
3.798482573769E2,2.867501159558E-1
3.798482573769E2,2.902766364792E-1
3.803832625996E2,2.955676996353E-1
3.814532730449E2,2.990967849008E-1
3.819882782676E2,3.043878480569E-1
3.819882782676E2,3.079143685802E-1
3.819882782676E2,3.114408891036E-1
3.819882782676E2,3.149674096269E-1
3.819882782676E2,3.184939301503E-1
3.819882782676E2,3.220204506736E-1
3.819882782676E2,3.255469711969E-1
3.830582887129E2,3.308393167241E-1
3.839856310989E2,3.336627559194E-1
3.841282991583E2,3.396581827747E-1
3.841282991583E2,3.431847032980E-1
3.841282991583E2,3.467112238213E-1
3.841282991583E2,3.502377443447E-1
3.841282991583E2,3.537642648680E-1
3.851983096036E2,3.590566103952E-1
3.861256519896E2,3.618800495904E-1
3.862683200489E2,3.678754764457E-1
3.862683200489E2,3.714019969691E-1
3.862683200489E2,3.749285174924E-1
3.862683200489E2,3.784550380157E-1
3.862683200489E2,3.819815585391E-1
3.862683200489E2,3.855080790624E-1
3.873383304943E2,3.908004245896E-1
3.882656728802E2,3.936238637848E-1
3.884083409396E2,3.996192906401E-1
3.884083409396E2,4.031458111635E-1
3.884083409396E2,4.066723316868E-1
3.884083409396E2,4.101988522101E-1
3.884083409396E2,4.137253727335E-1
3.884083409396E2,4.172518932568E-1
3.894783513849E2,4.225442387840E-1
3.904056937709E2,4.253676779793E-1
3.905483618303E2,4.313631048345E-1
3.905483618303E2,4.348896253579E-1
3.905483618303E2,4.384161458812E-1
3.905483618303E2,4.419426664046E-1
3.916183722756E2,4.472350119318E-1
3.925457146616E2,4.500584511270E-1
3.926883827209E2,4.560538779823E-1
3.926883827209E2,4.595803985056E-1
3.926883827209E2,4.631069190290E-1
3.926883827209E2,4.666334395523E-1
3.932233879436E2,4.719245027084E-1
3.942933983889E2,4.754535879739E-1
3.948284036116E2,4.807446511300E-1
3.948284036116E2,4.842711716534E-1
3.948284036116E2,4.877976921767E-1
3.948284036116E2,4.913242127000E-1
3.958984140570E2,4.966165582272E-1
3.968257564429E2,4.994399974225E-1
3.969684245023E2,5.054354242778E-1
3.969684245023E2,5.089619448011E-1
3.969684245023E2,5.124884653244E-1
3.980384349476E2,5.177808108516E-1
3.989657773336E2,5.206042500469E-1
3.991084453930E2,5.265996769022E-1
3.991084453930E2,5.301261974255E-1
4.001784558383E2,5.354185429527E-1
4.011057982242E2,5.382419821479E-1
4.012484662836E2,5.442374090032E-1
4.012484662836E2,5.477639295266E-1
4.020806966300E2,5.512924448494E-1
4.033884871743E2,5.540384288302E-1
4.033884871743E2,5.583486205810E-1
4.033884871743E2,5.618751411043E-1
4.042207175207E2,5.654036564271E-1
4.055285080650E2,5.681496404080E-1
4.055285080650E2,5.724598321587E-1
4.055285080650E2,5.759863526821E-1
4.063607384113E2,5.795148680049E-1
4.076685289556E2,5.822608519857E-1
4.076685289556E2,5.865710437365E-1
4.085007593020E2,5.900995590593E-1
4.098085498463E2,5.918659540059E-1
4.104624451185E2,5.948062884511E-1
4.119782932493E2,5.968670588078E-1
4.135535864050E2,5.989279716502E-1
4.146235968503E2,5.989305363924E-1
4.156936072956E2,5.971698408729E-1
4.170608428647E2,5.961935290093E-1
4.192008637554E2,5.926721379703E-1
4.212219945965E2,5.895422975737E-1
4.221136699677E2,5.883689280178E-1
4.231836804130E2,5.883714927600E-1
4.242536908583E2,5.883740575022E-1
4.253237013037E2,5.883766222444E-1
4.272259420954E2,5.919077023094E-1
4.285337326397E2,5.883843164710E-1
4.299009682087E2,5.856447443457E-1
4.315877207857E2,5.817794106914E-1
4.328137744210E2,5.778150138698E-1
4.337277416764E2,5.747314991292E-1
4.349537953117E2,5.707671023075E-1
4.360238057570E2,5.707696670497E-1
4.370938162023E2,5.672457112686E-1
4.384610517714E2,5.645061391432E-1
4.406010726620E2,5.609847481043E-1
4.422878252391E2,5.571194144501E-1
4.435138788743E2,5.531550176284E-1
4.445838893197E2,5.531575823706E-1
4.456538997650E2,5.496336265895E-1
4.467239102103E2,5.496361913317E-1
4.477939206557E2,5.461122355506E-1
4.488639311010E2,5.461148002928E-1
4.499339415464E2,5.425908445116E-1
4.510039519917E2,5.425934092538E-1
4.520739624370E2,5.408327137344E-1
4.531439728824E2,5.408352784766E-1
4.542139833277E2,5.390745829571E-1
