Line 2 x,Line 2 y
8.541049520443E2,9.392012214923E-3
8.535443175391E2,9.393451954279E-3
8.531561859585E2,9.394448696910E-3
8.527680543779E2,9.395445439541E-3
8.523799227973E2,9.396442182173E-3
8.519917912168E2,9.397438924804E-3
8.516036596362E2,9.398435667435E-3
8.512155280556E2,9.399432410066E-3
8.507109570009E2,9.400728175487E-3
8.502152744282E2,9.117582665636E-3
8.497920609696E2,9.094944379353E-3
8.492676133957E2,9.210294404599E-3
8.488867499932E2,9.375697476162E-3
8.481104754111E2,9.407406351115E-3
8.477223438305E2,9.408403093746E-3
8.473342122499E2,9.409399836378E-3
8.469460806693E2,9.410396579009E-3
8.465579490888E2,9.411393321640E-3
8.461698175082E2,9.412390064271E-3
8.457816859276E2,9.413386806902E-3
8.453935543471E2,9.414383549533E-3
8.450054227665E2,9.415380292165E-3
8.446172911859E2,9.416377034796E-3
8.442291596053E2,9.417373777427E-3
8.438410280248E2,9.418370520058E-3
8.434528964442E2,9.419367262689E-3
8.430647648636E2,9.420364005320E-3
8.426766332831E2,9.421360747951E-3
8.422885017025E2,9.422357490583E-3
8.419003701219E2,9.423354233214E-3
8.415122385413E2,9.424350975845E-3
8.411241069608E2,9.425347718476E-3
8.407359753802E2,9.426344461107E-3
8.403478437996E2,9.427341203738E-3
8.399597122191E2,9.428337946370E-3
8.395715806385E2,9.429334689001E-3
8.391834490579E2,9.430331431632E-3
8.387953174773E2,9.431328174263E-3
8.384071858968E2,9.432324916894E-3
8.380190543162E2,9.433321659525E-3
8.376309227356E2,9.434318402156E-3
8.372427911551E2,9.435315144788E-3
8.368546595745E2,9.436311887419E-3
8.364665279939E2,9.437308630050E-3
8.360783964133E2,9.438305372681E-3
8.356902648328E2,9.439302115312E-3
8.353021332522E2,9.440298857943E-3
8.349140016716E2,9.441295600575E-3
8.345258700911E2,9.442292343206E-3
8.341377385105E2,9.443289085837E-3
8.337496069299E2,9.444285828468E-3
8.333614753493E2,9.445282571099E-3
8.329733437688E2,9.446279313730E-3
8.325852121882E2,9.447276056361E-3
8.321970806076E2,9.448272798993E-3
8.318089490271E2,9.449269541624E-3
8.314208174465E2,9.450266284255E-3
8.310326858659E2,9.451263026886E-3
8.306445542853E2,9.452259769517E-3
8.302564227048E2,9.453256512148E-3
8.298682911242E2,9.454253254780E-3
8.294801595436E2,9.455249997411E-3
8.290920279631E2,9.456246740042E-3
8.287038963825E2,9.457243482673E-3
8.283157648019E2,9.458240225304E-3
8.279276332213E2,9.459236967935E-3
8.275395016408E2,9.460233710566E-3
8.271513700602E2,9.461230453198E-3
8.267632384796E2,9.462227195829E-3
8.263751068991E2,9.463223938460E-3
8.258705358443E2,9.464519703880E-3
8.253618394394E2,9.229164443398E-3
8.247712134453E2,9.270372433840E-3
8.242792146376E2,9.421061725162E-3
8.236581858351E2,9.470201136878E-3
8.232700542545E2,9.471197879509E-3
8.228819226739E2,9.472194622140E-3
8.224937910933E2,9.473191364771E-3
8.221056595128E2,9.474188107403E-3
8.217175279322E2,9.475184850034E-3
8.213293963516E2,9.476181592665E-3
8.209412647711E2,9.477178335296E-3
8.205531331905E2,9.478175077927E-3
8.201650016099E2,9.479171820558E-3
8.197768700293E2,9.480168563190E-3
8.193887384488E2,9.481165305821E-3
8.190006068682E2,9.482162048452E-3
8.186124752876E2,9.483158791083E-3
8.182243437071E2,9.484155533714E-3
8.178362121265E2,9.485152276345E-3
8.174480805459E2,9.486149018976E-3
8.170599489653E2,9.487145761608E-3
8.166718173848E2,9.488142504239E-3
8.162836858042E2,9.489139246870E-3
8.158955542236E2,9.490135989501E-3
8.155074226431E2,9.491132732132E-3
8.151192910625E2,9.492129474763E-3
8.147311594819E2,9.493126217395E-3
8.143430279013E2,9.494122960026E-3
8.139548963208E2,9.495119702657E-3
8.135667647402E2,9.496116445288E-3
8.131786331596E2,9.497113187919E-3
8.127905015791E2,9.498109930550E-3
8.124023699985E2,9.499106673181E-3
8.120142384179E2,9.500103415813E-3
8.116261068373E2,9.501100158444E-3
8.112379752568E2,9.502096901075E-3
8.108498436762E2,9.503093643706E-3
8.104617120956E2,9.504090386337E-3
8.100735805151E2,9.505087128968E-3
8.096854489345E2,9.506083871600E-3
8.092973173539E2,9.507080614231E-3
8.089091857733E2,9.508077356862E-3
8.085210541928E2,9.509074099493E-3
8.081329226122E2,9.510070842124E-3
8.077447910316E2,9.511067584755E-3
8.073566594511E2,9.512064327386E-3
8.069685278705E2,9.513061070018E-3
8.065803962899E2,9.514057812649E-3
8.061922647093E2,9.515054555280E-3
8.058041331288E2,9.516051297911E-3
8.054160015482E2,9.517048040542E-3
8.050278699676E2,9.518044783173E-3
8.046397383870E2,9.519041525805E-3
8.042516068065E2,9.520038268436E-3
8.038634752259E2,9.521035011067E-3
8.034753436453E2,9.522031753698E-3
8.030872120648E2,9.523028496329E-3
8.026990804842E2,9.524025238960E-3
8.023109489036E2,9.525021981591E-3
8.019228173230E2,9.526018724223E-3
8.015346857425E2,9.527015466854E-3
8.011465541619E2,9.528012209485E-3
8.006419831072E2,9.529307974905E-3
8.001332867023E2,9.293952714423E-3
7.995426607081E2,9.335160704865E-3
7.990506619004E2,9.485849996187E-3
7.984296330979E2,9.534989407903E-3
7.980415015173E2,9.535986150534E-3
7.976533699368E2,9.536982893165E-3
7.972652383562E2,9.537979635797E-3
7.968771067756E2,9.538976378428E-3
7.964889751950E2,9.539973121059E-3
7.961008436145E2,9.540969863690E-3
7.957127120339E2,9.541966606321E-3
7.953245804533E2,9.542963348952E-3
7.949364488728E2,9.543960091583E-3
7.945483172922E2,9.544956834215E-3
7.941601857116E2,9.545953576846E-3
7.937720541310E2,9.546950319477E-3
7.933839225505E2,9.547947062108E-3
7.929957909699E2,9.548943804739E-3
7.926076593893E2,9.549940547370E-3
7.922195278088E2,9.550937290002E-3
7.918313962282E2,9.551934032633E-3
7.914432646476E2,9.552930775264E-3
7.910551330670E2,9.553927517895E-3
7.906670014865E2,9.554924260526E-3
7.902788699059E2,9.555921003157E-3
7.898907383253E2,9.556917745788E-3
7.895026067448E2,9.557914488420E-3
7.891144751642E2,9.558911231051E-3
7.887263435836E2,9.559907973682E-3
7.883382120030E2,9.560904716313E-3
7.879500804225E2,9.561901458944E-3
7.875619488419E2,9.562898201575E-3
7.871738172613E2,9.563894944207E-3
7.867856856808E2,9.564891686838E-3
7.863975541002E2,9.565888429469E-3
7.860094225196E2,9.566885172100E-3
7.856212909390E2,9.567881914731E-3
7.852331593585E2,9.568878657362E-3
7.848450277779E2,9.569875399993E-3
7.844568961973E2,9.570872142625E-3
