Line 3 x,Line 3 y
1.916802700141E2,1.868876270581E-3
2.172580072304E2,2.310986058050E-4
2.428365881788E2,8.485171644884E-5
2.812053033334E2,1.357012157835E-3
3.240002368432E2,1.112329862181E-3
4.017197712633E2,6.679643137532E-4
4.435317569302E2,1.920437673880E-3
4.897699609523E2,1.656068296967E-3
5.310900508318E2,2.911354097274E-3
5.576524233551E2,2.759482327558E-3
5.960211385097E2,4.031642768945E-3
6.201240320957E2,3.893833200128E-3
6.304529999005E2,2.343241180929E-3
6.417682904764E2,5.261616607632E-3
6.496386230759E2,5.216617564753E-3
6.584969659106E2,1.262364751862E-2
6.629299341222E2,2.303905098494E-2
6.663909230076E2,5.434151018752E-2
6.698654116059E2,1.095084617968E-1
6.703826193550E2,1.542515726193E-1
6.719258052817E2,2.735655973324E-1
6.734504291033E2,3.600659449862E-1
6.750417077571E2,5.643972238983E-1
6.755960397165E2,6.747676888392E-1
6.771670688010E2,8.433022291412E-1
6.781812347299E2,8.969917121760E-1
6.801648487888E2,9.253195471483E-1
6.806668693609E2,9.432151040132E-1
6.850964626443E2,9.476643843778E-1
6.959173262366E2,9.461109799184E-1
7.131328350660E2,9.445210137367E-1
7.298581355720E2,9.459169215460E-1
7.396943638572E2,9.428776111916E-1
7.593710390880E2,9.442566443598E-1
7.834747764061E2,9.456103655664E-1
8.134795757096E2,9.439472759400E-1
8.262688661838E2,9.438741524953E-1
8.479122808325E2,9.437504051274E-1
8.675881123312E2,9.436379075202E-1
8.857891001996E2,9.450253780090E-1
9.123523164550E2,9.463650370147E-1
9.261253985041E2,9.462862886896E-1
9.566229373272E2,9.461119173985E-1
9.713798109513E2,9.460275441931E-1
1.016633379666E3,9.442772689211E-1
1.041720908559E3,9.456253652473E-1
1.067790541563E3,9.439847751424E-1
1.081564467344E3,9.453975575928E-1
1.089428893819E3,9.349118431220E-1
1.098282174262E3,9.333696884233E-1
