Line 8 x,Line 8 y
1.925489532457E2,4.226312265432E-8
2.236933829468E2,2.535787361521E-6
2.632837596855E2,5.705521563482E-6
2.701460916535E2,6.781322692836E-3
2.733133217926E2,2.304173887320E-2
2.759526802418E2,4.607718054112E-2
2.780641670012E2,7.453263414645E-2
2.791199103809E2,9.214789482446E-2
2.822871405200E2,1.653188801105E-1
2.838707555896E2,1.991943456533E-1
2.843986272794E2,2.398447944205E-1
2.865101140388E2,2.777853428767E-1
2.886216007982E2,3.346960810349E-1
2.912609592475E2,3.875418208058E-1
2.928445743170E2,4.173522456982E-1
2.939003176967E2,4.566477231783E-1
2.970675478358E2,5.081384916622E-1
3.007626496647E2,5.582742888591E-1
3.034020081140E2,5.907948253780E-1
3.065692382531E2,6.219603906098E-1
3.097364683922E2,6.490609151913E-1
3.139594419110E2,6.639664023477E-1
3.187102871196E2,6.720968640167E-1
3.261004907775E2,6.775175099009E-1
3.329628227456E2,6.734530186711E-1
3.377136679542E2,6.639683041883E-1
3.419366414730E2,6.477084796916E-1
3.456317433019E2,6.273835722814E-1
3.493268451309E2,6.057036513211E-1
3.535498186497E2,5.772487048733E-1
3.556613054091E2,5.460835622726E-1
3.572449204786E2,5.135633638588E-1
3.604121506177E2,4.715581973833E-1
3.619957656873E2,4.363279718691E-1
3.641072524467E2,3.983877615178E-1
3.662187392061E2,3.496074427654E-1
3.688580976553E2,2.981171391759E-1
3.709695844147E2,2.520468475238E-1
3.725531994842E2,1.937813916573E-1
3.736089428639E2,1.450009883787E-1
3.762483013132E2,1.002857525398E-1
3.773040446929E2,6.370047121243E-2
3.783597880726E2,4.066532538638E-2
3.804712748320E2,2.169530473697E-2
3.836385049711E2,6.790409264215E-3
3.926123236985E2,4.081100637030E-3
4.105599611534E2,1.372510482930E-3
4.154624464277E2,2.944087651638E-3
5.018817634973E2,2.734835553292E-3
6.021773845687E2,4.097879096739E-3
6.998336471908E2,2.750684224301E-3
8.001292682621E2,4.868711734200E-5
8.998970176436E2,-1.298338702605E-3
1.000192638715E3,-1.290308709293E-3
1.052979807700E3,-1.286082397024E-3
1.080429135572E3,1.426142385627E-3
1.099960388097E3,7.269257103147E-5
