"ë [nm]","ôi","","ë [nm]","ôi","","ë [nm]","ôi","","ë [nm]","ôi","","ë [nm]","ôi","","ë [nm]","ôi"
"200","<  1.0E-05","","500","9.2E-01","","800","1.3E-01","","1100","3.8E-04","","2200","4.0E-03","","3700","8.7E-04"
"210","<  1.0E-05","","510","9.2E-01","","810","1.0E-01","","1110","3.5E-04","","2250","4.4E-03","","3750","7.9E-04"
"220","<  1.0E-05","","520","9.1E-01","","820","8.4E-02","","1120","3.3E-04","","2300","5.1E-03","","3800","6.3E-04"
"230","<  1.0E-05","","530","9.1E-01","","830","6.9E-02","","1130","3.1E-04","","2350","6.2E-03","","3850","4.2E-04"
"240","<  1.0E-05","","540","9.1E-01","","840","5.5E-02","","1140","2.9E-04","","2400","7.7E-03","","3900","1.9E-04"
"250","<  1.0E-05","","550","9.2E-01","","850","4.4E-02","","1150","2.8E-04","","2450","9.5E-03","","3950","7.8E-05"
"260","<  1.0E-05","","560","9.2E-01","","860","3.4E-02","","1160","2.7E-04","","2500","1.2E-02","","4000","3.6E-05"
"270","<  1.0E-05","","570","9.1E-01","","870","2.7E-02","","1170","2.5E-04","","2550","1.5E-02","","4050","1.8E-05"
"280","4.0E-04","","580","9.1E-01","","880","2.1E-02","","1180","2.4E-04","","2600","1.8E-02","","4100","<  1.0E-05"
"290","6.9E-03","","590","8.9E-01","","890","1.6E-02","","1190","2.3E-04","","2650","2.0E-02","","4150","<  1.0E-05"
"300","5.5E-02","","600","8.8E-01","","900","1.3E-02","","1200","2.3E-04","","2700","2.1E-02","","4200","<  1.0E-05"
"310","2.0E-01","","610","8.6E-01","","910","1.0E-02","","1250","2.2E-04","","2750","1.1E-02","","4250","<  1.0E-05"
"320","4.1E-01","","620","8.3E-01","","920","8.1E-03","","1300","2.4E-04","","2800","6.5E-04","","4300","<  1.0E-05"
"330","6.3E-01","","630","8.0E-01","","930","6.5E-03","","1350","2.9E-04","","2850","1.2E-04","","4350","<  1.0E-05"
"340","7.7E-01","","640","7.6E-01","","940","5.1E-03","","1400","3.8E-04","","2900","6.9E-05","","4400","<  1.0E-05"
"350","8.6E-01","","650","7.3E-01","","950","4.0E-03","","1450","5.4E-04","","2950","6.0E-05","","4450","<  1.0E-05"
"360","9.1E-01","","660","6.9E-01","","960","3.2E-03","","1500","7.6E-04","","3000","5.8E-05","","4500","<  1.0E-05"
"370","9.3E-01","","670","6.5E-01","","970","2.6E-03","","1550","1.2E-03","","3050","5.8E-05","","4550","<  1.0E-05"
"380","9.4E-01","","680","6.1E-01","","980","2.1E-03","","1600","1.8E-03","","3100","6.1E-05","","4600","<  1.0E-05"
"390","9.3E-01","","690","5.6E-01","","990","1.8E-03","","1650","2.7E-03","","3150","6.7E-05","","4650","<  1.0E-05"
"400","9.1E-01","","700","5.1E-01","","1000","1.5E-03","","1700","3.8E-03","","3200","7.6E-05","","4700","<  1.0E-05"
"410","9.0E-01","","710","4.6E-01","","1010","1.2E-03","","1750","4.7E-03","","3250","8.9E-05","","4750","<  1.0E-05"
"420","8.9E-01","","720","4.2E-01","","1020","1.0E-03","","1800","5.2E-03","","3300","1.1E-04","","4800","<  1.0E-05"
"430","8.9E-01","","730","3.7E-01","","1030","8.9E-04","","1850","5.4E-03","","3350","1.4E-04","","4850","<  1.0E-05"
"440","9.0E-01","","740","3.3E-01","","1040","7.6E-04","","1900","5.2E-03","","3400","1.7E-04","","4900","<  1.0E-05"
"450","9.0E-01","","750","2.9E-01","","1050","6.7E-04","","1950","4.9E-03","","3450","2.2E-04","","4950","<  1.0E-05"
"460","9.0E-01","","760","2.5E-01","","1060","5.8E-04","","2000","4.4E-03","","3500","3.1E-04","","5000","<  1.0E-05"
"470","9.0E-01","","770","2.1E-01","","1070","5.1E-04","","2050","4.1E-03","","3550","4.5E-04","","5050","<  1.0E-05"
"480","9.1E-01","","780","1.8E-01","","1080","4.5E-04","","2100","3.9E-03","","3600","6.2E-04","","5100","<  1.0E-05"
"490","9.1E-01","","790","1.5E-01","","1090","4.1E-04","","2150","3.9E-03","","3650","7.9E-04","","5150","<  1.0E-05"
