# Various filters measured in 2007 (transmittances %)
Wavelength  rosco226	rosco00	PE	PET	solatrol	luminance	PETPET	PEPE	2rosco00	2rosco226	PEPET	PErosco226	PETrosco226	PETrosco00	2rosco
190	0.6	0.8	3.1	1.1	0.4	-0.1	1.3	0.5	0.5	0.1	1.8	0.2	0.1	1.2	-0.1
191	0.5	0.8	3.2	1	0.2	-0.1	1.4	0.6	0.4	0.2	1.6	0.2	0.1	1	0.1
192	0.2	0.6	3.4	1.1	0.1	0	1.2	0.6	0.3	0.1	1.5	0.1	0.2	0.8	0.3
193	0.1	0.5	4.1	1.5	0.1	0.1	1	0.5	0.4	0.1	1.3	0	0.3	1	0.2
194	0.3	0.6	4.8	1.6	0	0	1	0.5	0.4	0.1	1	0	0.2	1.1	0.2
195	0.2	0.5	5.5	1.2	0	-0.1	1.1	0.6	0.5	0.1	1	0.1	0.3	1	0.3
196	0.1	0.4	6.6	1.1	0	0	1.1	0.8	0.5	0	1	0.1	0.5	0.9	0.2
197	0.1	0.5	7.8	1.1	0.1	0	0.9	1.1	0.5	0.1	1	0.1	0.4	0.9	0.1
198	0.1	0.5	9.4	1.1	0.1	0.1	1	1.4	0.5	0.1	0.9	0.1	0.4	0.9	0.1
199	0.2	0.5	11.7	1.1	0	0.1	0.9	1.8	0.4	0.2	0.9	0.1	0.3	0.9	0.1
200	0.2	0.4	14.4	1.1	0	0	0.9	2.6	0.3	0.1	1	0.1	0.3	0.9	0.1
201	0.2	0.3	17.4	1	0	0	0.8	3.7	0.3	0.1	0.9	0.1	0.3	0.8	0.1
202	0.2	0.3	21	1	0	0	0.8	5.2	0.3	0.1	0.9	0.1	0.3	0.9	0.1
203	0.1	0.3	24.9	1	0	0	0.9	7.1	0.3	0.1	0.9	0.1	0.3	0.9	0.1
204	0.2	0.4	29.2	1	0	0	0.9	9.3	0.2	0.1	0.9	0.1	0.3	0.9	0.1
205	0.2	0.4	33.5	1	0	0	0.9	12	0.3	0.1	0.9	0.1	0.3	0.9	0.1
206	0.2	0.3	38.2	1	0	0	0.9	15.2	0.3	0.1	0.8	0.1	0.2	0.9	0.1
207	0.2	0.3	42.8	1	0	0	0.9	19	0.3	0.1	0.9	0.1	0.2	0.9	0.1
208	0.1	0.3	46.8	1	0	0	0.9	23	0.3	0.1	0.9	0.1	0.3	0.8	0.1
209	0.2	0.3	51.2	1	0	0	0.8	27.2	0.3	0.2	0.9	0.1	0.3	0.8	0.1
210	0.2	0.3	55.1	1	0	0	0.8	31.5	0.3	0.1	0.9	0.1	0.3	0.8	0.1
211	0.2	0.3	58.8	1	0	0	0.8	35.9	0.2	0.1	0.8	0.1	0.2	0.8	0.2
212	0.2	0.3	62.7	0.9	0	0	0.8	40.4	0.2	0.1	0.8	0.1	0.2	0.8	0.2
213	0.2	0.3	66.4	0.9	0	0	0.8	44.6	0.2	0.1	0.8	0.1	0.3	0.8	0.1
214	0.2	0.3	69.4	0.9	0.1	0	0.8	48.6	0.2	0.1	0.8	0.1	0.2	0.7	0.1
215	0.2	0.2	71.8	0.9	0	0	0.8	51.9	0.2	0.1	0.8	0.1	0.2	0.8	0.1
216	0.2	0.2	73.8	0.9	0	0	0.7	54.8	0.2	0.1	0.8	0.1	0.2	0.7	0.1
217	0.2	0.2	75.5	0.9	0	0	0.7	57.4	0.2	0.1	0.8	0.1	0.2	0.7	0.1
218	0.2	0.2	77	0.8	0	0	0.7	59.7	0.2	0.1	0.8	0.1	0.2	0.7	0.1
219	0.2	0.2	78	0.8	0	0	0.7	61.6	0.2	0.1	0.7	0.1	0.2	0.7	0.1
220	0.2	0.2	79	0.8	0.1	0	0.7	63.1	0.1	0.1	0.7	0.1	0.2	0.6	0.1
221	0.1	0.2	79.8	0.8	0.1	0	0.7	64.4	0.1	0.1	0.7	0.1	0.2	0.6	0.1
222	0.1	0.2	80.3	0.7	0.1	0	0.6	65.3	0.1	0.1	0.7	0.1	0.2	0.6	0.1
223	0.1	0.2	80.9	0.7	0	0	0.6	66.1	0.1	0.1	0.7	0.1	0.2	0.6	0.1
224	0.1	0.1	81.3	0.7	0	0	0.6	66.9	0.1	0.1	0.6	0.1	0.2	0.6	0.1
225	0.1	0.1	81.6	0.7	0	0	0.6	67.7	0.1	0.1	0.6	0.1	0.2	0.6	0.1
226	0.1	0.1	81.9	0.7	0	0	0.6	68.1	0.1	0.1	0.6	0.1	0.2	0.6	0.1
227	0.1	0.1	82.2	0.7	0.1	0	0.6	68.4	0.1	0.1	0.6	0.1	0.2	0.6	0.1
228	0.1	0.1	82.4	0.6	0.1	0	0.5	68.7	0.1	0.1	0.6	0.1	0.2	0.5	0.1
229	0.1	0.1	82.4	0.6	0	0.1	0.5	69	0.1	0.1	0.5	0.1	0.1	0.5	0
230	0.1	0.1	82.7	0.6	0	0.1	0.5	69.6	0.1	0.1	0.5	0.1	0.1	0.5	0.1
231	0.1	0.1	83.2	0.6	0	0.1	0.5	70.1	0.1	0.1	0.5	0.1	0.1	0.5	0.1
232	0.1	0.1	83.5	0.6	0	0.1	0.5	70.3	0.1	0.1	0.5	0.1	0.1	0.5	0.1
233	0.1	0.1	83.4	0.6	0	0.1	0.5	70.5	0.1	0.1	0.5	0.1	0.1	0.5	0.1
234	0.1	0.1	83.5	0.5	0.1	0.2	0.5	70.9	0.1	0	0.5	0.1	0.1	0.4	0
235	0.1	0.1	83.7	0.5	0	0.2	0.5	71.1	0.1	0	0.5	0	0.1	0.4	0
236	0.1	0.1	84	0.5	0	0.2	0.4	71.5	0	0	0.4	0	0.1	0.4	0
237	0.1	0.1	84.4	0.5	0	0.2	0.4	72	0	0	0.4	0	0.1	0.4	0
238	0.1	0.1	84.4	0.5	0	0.2	0.4	72.2	0	0	0.4	0	0.1	0.4	0
239	0.1	0.1	84.3	0.5	0	0.2	0.4	72.4	0	0	0.4	0	0.1	0.4	0
240	0.1	0	84.6	0.5	0	0.2	0.4	72.5	0	0	0.4	0	0.1	0.4	0
241	0	0	85	0.5	0	0.2	0.4	72.8	0	0	0.4	0	0.1	0.4	0
242	0	0	85	0.4	0	0.2	0.4	73	0	0	0.4	0	0.1	0.4	0
243	0.1	0	84.9	0.4	0	0.2	0.4	73.2	0	0	0.4	0	0.1	0.4	0
244	0	0.1	85.2	0.4	0	0.2	0.4	73.5	0	0	0.4	0	0.1	0.3	0
245	0	0.1	85.4	0.4	0	0.3	0.3	73.7	0	0	0.4	0	0.1	0.3	0
246	0	0	85.4	0.4	0	0.3	0.3	73.8	0	0	0.4	0	0.1	0.3	0
247	0	0	85.5	0.4	0	0.3	0.3	73.9	0	0	0.3	0	0.1	0.3	0
248	0	0	85.5	0.4	0	0.3	0.3	74.1	0	0	0.3	0	0.1	0.3	0
249	0	0.1	85.6	0.4	0	0.4	0.3	74.3	0	0	0.3	0	0.1	0.3	0
250	0	0.1	85.7	0.4	0	0.5	0.3	74.4	0	0	0.3	0	0.1	0.3	0
251	0	0.1	85.9	0.4	0	0.6	0.3	74.7	0	0	0.3	0	0.1	0.3	0
252	0	0.1	86.1	0.4	0	0.7	0.3	74.9	0	0	0.3	0	0.1	0.3	0
253	0	0.1	86.1	0.4	0	0.8	0.3	74.8	0	0	0.3	0	0.1	0.3	0
254	0	0.1	86.3	0.4	0	1	0.3	74.9	0	0	0.3	0	0.1	0.3	0
255	0	0.1	86.3	0.3	0	1.2	0.3	74.9	0	0	0.3	0	0.1	0.3	0
256	0	0.1	86.3	0.3	0.1	1.5	0.3	75.1	0	0	0.3	0	0.1	0.3	0
257	0	0.1	86.4	0.3	0.1	1.8	0.3	75.3	0	0	0.3	0	0.1	0.3	0
258	0	0.1	86.5	0.3	0.1	2.2	0.3	75.4	0	0	0.3	0	0.1	0.3	0
259	0	0.1	86.5	0.3	0.1	2.6	0.3	75.5	0	0	0.3	0	0.1	0.3	0
260	0	0.1	86.5	0.3	0.1	3	0.3	75.5	0	0	0.3	0	0.1	0.3	0
261	0	0.1	86.5	0.3	0.1	3.4	0.3	75.7	0	0	0.3	0	0.1	0.3	0
262	0	0.1	86.6	0.3	0.1	3.7	0.3	75.8	0	0	0.3	0	0.1	0.3	0
263	0	0.1	86.7	0.3	0.1	3.9	0.3	75.8	0	0	0.3	0	0.1	0.3	0
264	0.1	0.1	86.8	0.4	0.1	4.1	0.3	75.9	0	0	0.3	0	0.1	0.3	0
265	0	0.1	86.9	0.4	0.1	4.1	0.3	76	0	0	0.3	0	0.1	0.3	0
266	0	0.1	86.8	0.4	0.1	4	0.3	76	0	0	0.3	0	0.1	0.3	0
267	0	0.1	86.9	0.4	0.1	3.8	0.3	76	0	0	0.3	0	0.1	0.3	0
268	0.1	0.1	87	0.4	0.1	3.5	0.3	76	0	0	0.3	0	0.1	0.3	0
269	0	0.1	87	0.4	0.1	3.1	0.3	76.2	0	0	0.3	0	0.1	0.3	0
270	0	0.1	86.9	0.4	0	2.7	0.3	76.3	0	0	0.3	0	0.1	0.3	0
271	0.1	0.1	86.9	0.4	0	2.3	0.3	76.2	0	0	0.3	0	0.1	0.3	0
272	0.1	0.1	86.9	0.4	0	1.9	0.3	76.2	0	0	0.3	0	0.1	0.3	0
273	0.1	0.1	86.8	0.4	0	1.6	0.3	76.3	0	0	0.3	0	0.1	0.3	0
274	0.1	0.1	87	0.4	0	1.3	0.3	76.4	0	0	0.3	0	0.1	0.3	0
275	0.1	0.1	87.1	0.4	0	1	0.3	76.6	0.1	0	0.3	0	0.1	0.3	0
276	0.1	0.1	87.1	0.4	0	0.8	0.3	76.6	0.1	0	0.4	0	0.1	0.3	0
277	0.1	0.1	87.2	0.4	0	0.7	0.3	76.6	0.1	0	0.4	0	0.1	0.3	0
278	0.1	0.1	87.1	0.4	0	0.5	0.3	76.5	0.1	0	0.4	0	0.1	0.3	0
279	0.1	0.1	87.1	0.4	0	0.4	0.3	76.6	0.1	0	0.4	0	0.1	0.3	0
280	0.1	0.2	87.2	0.4	0	0.3	0.3	76.7	0.1	0	0.4	0	0.1	0.3	0
281	0.1	0.4	87.1	0.4	0	0.3	0.3	76.6	0.1	0	0.3	0	0.1	0.3	0
282	0.1	0.7	87.2	0.4	0	0.2	0.3	76.6	0.1	0	0.3	0	0.1	0.3	0
283	0.1	1.5	87.3	0.4	0	0.2	0.3	76.7	0.2	0	0.4	0	0.1	0.3	0
284	0.1	2.7	87.4	0.4	0	0.2	0.3	76.8	0.3	0	0.3	0	0.1	0.3	0
285	0.1	4.7	87.4	0.4	0	0.1	0.3	76.9	0.7	0	0.3	0	0.1	0.3	0
286	0.1	7.8	87.4	0.4	0	0.1	0.3	76.8	1.3	0	0.3	0	0.1	0.3	0
287	0.1	11.6	87.3	0.4	0	0.1	0.3	76.8	2.3	0	0.3	0	0.1	0.3	0
288	0.1	16.2	87.2	0.4	0	0.1	0.3	76.8	3.8	0	0.3	0	0.1	0.3	0
289	0.1	21.5	87.3	0.4	0	0.1	0.3	76.7	5.8	0	0.3	0	0.1	0.3	0
290	0	26.8	87.5	0.4	0	0.1	0.3	76.8	8.3	0	0.3	0	0.1	0.3	0
291	0	32	87.4	0.4	0	0.1	0.3	76.9	11.1	0	0.3	0	0.1	0.3	0
292	0	37	87.5	0.4	0	0.1	0.3	76.8	14.3	0	0.3	0	0.1	0.3	0
293	0.1	41.5	87.5	0.3	0	0.1	0.3	76.9	17.5	0	0.3	0	0.1	0.3	0
294	0	45.5	87.5	0.3	0	0.2	0.3	77	20.8	0	0.3	0	0.1	0.3	0
295	0	48.9	87.6	0.3	0	0.2	0.3	77	24	0	0.3	0	0.1	0.3	0
296	0	52	87.5	0.3	0	0.3	0.3	77.1	27	0	0.3	0	0.1	0.3	0
297	0	54.8	87.6	0.3	0	0.3	0.3	77.1	29.9	0	0.3	0	0.1	0.3	0
298	0	57.1	87.7	0.3	0	0.3	0.3	77.2	32.3	0	0.3	0	0.1	0.3	0
299	0	59	87.7	0.3	0	0.4	0.3	77.3	34.6	0	0.3	0	0.1	0.3	0
300	0	60.6	87.6	0.3	0	0.5	0.3	77.4	36.6	0	0.3	0	0.1	0.3	0
301	0	62.2	87.6	0.3	0	0.5	0.3	77.5	38.4	0	0.3	0	0.1	0.3	0
302	0	63.6	87.8	0.3	0	0.6	0.3	77.6	39.9	0	0.3	0	0.1	0.3	0
303	0	64.5	88.1	0.4	0	0.7	0.3	77.7	41.2	0	0.3	0	0.1	0.3	0
304	0	65.2	88	0.4	0	0.7	0.3	77.8	42.2	0	0.3	0	0.1	0.3	0
305	0	65.8	87.9	0.4	0	0.8	0.3	77.8	43.2	0	0.4	0	0.1	0.3	0
306	0.1	66.6	88.1	0.4	0	0.8	0.4	78.2	44.2	0	0.4	0	0.1	0.4	0
307	0.1	67.4	88.3	0.5	0	0.8	0.4	78.5	45.2	0	0.4	0.1	0.1	0.4	0.1
308	0.1	68	88.3	0.5	0	0.9	0.4	78.5	46.1	0	0.5	0.1	0.1	0.4	0.1
309	0.1	68.7	88.1	0.6	0	0.9	0.5	78.4	47	0.1	0.5	0.1	0.1	0.5	0.1
310	0.1	69.5	88.1	0.8	0	0.9	0.6	78.6	48.1	0.1	0.7	0.1	0.1	0.6	0.1
311	0.1	70.4	88.3	1.1	0	0.8	0.7	78.9	49.4	0.1	0.9	0.1	0.2	0.8	0.1
312	0.1	71.1	88.4	1.7	0	0.8	0.8	78.7	50.7	0.1	1.5	0.1	0.2	1.3	0.1
313	0.2	71.9	88.3	3	0	0.8	1.1	78.7	51.8	0.1	2.6	0.1	0.2	2.3	0.1
314	0.2	72.7	88.2	5	0	0.8	1.5	78.7	52.8	0.1	4.3	0.1	0.2	3.7	0.1
315	0.2	73.3	88.3	8.1	0	0.7	2.3	78.7	53.9	0.1	7	0.2	0.2	6	0.2
316	0.2	74	88.2	12.2	0	0.7	3.6	78.6	55	0.1	10.6	0.2	0.3	9.1	0.2
317	0.2	74.7	88.4	17.3	0	0.7	5.4	78.8	55.9	0.2	15.1	0.2	0.3	13.1	0.2
318	0.2	75.3	88.7	23.3	0	0.7	8.1	79	56.8	0.2	20.3	0.2	0.3	17.7	0.2
319	0.2	75.8	88.7	29.8	0	0.7	11.4	79	57.9	0.2	25.9	0.2	0.4	22.6	0.2
320	0.3	76.5	88.6	35.9	0	0.6	15.3	79.1	58.7	0.2	31.5	0.2	0.4	27.5	0.2
321	0.3	77.1	88.9	41.8	0	0.6	19.6	79.3	59.5	0.2	36.8	0.2	0.4	32.4	0.2
322	0.3	77.6	89	47.2	0	0.6	24.1	79.2	60.4	0.2	41.7	0.2	0.4	36.9	0.2
323	0.3	78.2	89	52.1	0	0.6	28.7	79.2	61.3	0.2	46	0.2	0.4	40.9	0.2
324	0.3	78.6	89	56.4	0	0.6	32.9	79.5	62.1	0.2	49.9	0.2	0.4	44.5	0.2
